,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date,close_year,close_quarter
0,Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,2017-12-15,2017-12-20,2017,4
1,The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,2017-10-13,2017-10-20,2017,4
2,Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",2017-05-26,2017-07-26,2017,2
3,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan) ",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,2017-05-05,2017-07-26,2017,2
4,First NBC Bank,New Orleans,LA,58302,Whitney Bank,2017-04-28,2017-12-05,2017,2
5,Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,2017-03-03,2017-05-18,2017,1
6,Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,2017-01-27,2017-05-18,2017,1
7,Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,2017-01-13,2017-05-18,2017,1
8,Allied Bank,Mulberry,AR,91,Today's Bank,2016-09-23,2017-09-25,2016,3
9,The Woodbury Banking Company,Woodbury,GA,11297,United Bank,2016-08-19,2017-06-01,2016,3
10,First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,2016-05-06,2016-09-06,2016,2
11,Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,2016-04-29,2016-09-06,2016,2
12,North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,2016-03-11,2017-03-13,2016,1
13,Hometown National Bank,Longview,WA,35156,Twin City Bank,2015-10-02,2018-01-12,2015,4
14,The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2015-10-02,2016-10-24,2015,4
15,Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",2015-07-10,2016-08-17,2015,3
16,Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,2015-05-08,2016-07-12,2015,2
17,Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,2015-02-27,2015-05-13,2015,1
18,Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,2015-02-13,2015-04-21,2015,1
19,Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",2015-01-23,2017-11-15,2015,1
20,First National Bank of Crestview ,Crestview,FL,17557,First NBC Bank,2015-01-16,2017-11-15,2015,1
21,Northern Star Bank,Mankato,MN,34983,BankVista,2014-12-19,2018-01-03,2014,4
22,"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",2014-11-07,2016-11-10,2014,4
23,The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,2014-10-24,2016-01-06,2014,4
24,NBRS Financial,Rising Sun,MD,4862,Howard Bank,2014-10-17,2018-01-12,2014,4
25,"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",2014-07-25,2016-12-12,2014,3
26,Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,2014-07-18,2017-10-06,2014,3
27,The Freedom State Bank ,Freedom,OK,12483,Alva State Bank & Trust Company,2014-06-27,2016-03-25,2014,2
28,Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",2014-06-20,2017-10-06,2014,2
29,Valley Bank,Moline,IL,10450,Great Southern Bank,2014-06-20,2015-06-26,2014,2
30,Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",2014-05-30,2016-12-12,2014,2
31,Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",2014-05-23,2016-11-10,2014,2
32,AztecAmerica Bank ,Berwyn,IL,57866,Republic Bank of Chicago,2014-05-16,2016-10-20,2014,2
33,Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,2014-04-25,2014-07-18,2014,2
34,Vantage Point Bank,Horsham,PA,58531,First Choice Bank,2014-02-28,2018-01-07,2014,1
35,"Millennium Bank, National Association ",Sterling,VA,35096,WashingtonFirst Bank,2014-02-28,2015-03-03,2014,1
36,Syringa Bank,Boise,ID,34296,Sunwest Bank,2014-01-31,2016-04-12,2014,1
37,The Bank of Union,El Reno,OK,17967,BancFirst,2014-01-24,2016-03-25,2014,1
38,DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,2014-01-17,2016-10-20,2014,1
39,"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",2013-12-13,2014-12-29,2013,4
40,Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,2013-10-30,2016-10-20,2013,4
41,First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,2013-09-13,2015-05-27,2013,3
42,The Community's Bank,Bridgeport,CT,57041,No Acquirer,2013-09-13,2015-12-07,2013,3
43,Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",2013-08-23,2017-05-03,2013,3
44,Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.",2013-08-23,2014-09-12,2013,3
45,Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,2013-08-09,2013-10-24,2013,3
46,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,2013-08-02,2017-02-09,2013,3
47,Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association",2013-06-07,2016-02-04,2013,2
48,1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,2013-06-06,2013-07-12,2013,2
49,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB",2013-05-31,2017-05-05,2013,2
50,Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,2013-05-14,2015-12-07,2013,2
51,Sunrise Bank,Valdosta,GA,58185,Synovus Bank,2013-05-10,2014-06-26,2013,2
52,Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.",2013-05-10,2016-08-08,2013,2
53,Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,2013-04-26,2014-04-25,2013,2
54,Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association",2013-04-26,2017-10-06,2013,2
55,Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,2013-04-19,2015-09-21,2013,2
56,Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,2013-04-19,2016-08-08,2013,2
57,First Federal Bank,Lexington,KY,29594,Your Community Bank,2013-04-19,2016-12-12,2013,2
58,Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",2013-04-05,2017-10-06,2013,2
59,Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,2013-03-08,2017-11-13,2013,1
60,Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,2013-02-15,2015-09-21,2013,1
61,1st Regents Bank,Andover,MN,57157,First Minnesota Bank,2013-01-18,2016-07-12,2013,1
62,Westside Community Bank,University Place,WA,33997,Sunwest Bank,2013-01-11,2016-08-08,2013,1
63,Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,2012-12-14,2014-04-04,2012,4
64,Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association",2012-11-16,2017-10-06,2012,4
65,Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,2012-11-02,2013-11-22,2012,4
66,Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,2012-11-02,2014-03-21,2012,4
67,NOVA Bank,Berwyn,PA,27148,No Acquirer,2012-10-26,2013-01-24,2012,4
68,Excel Bank,Sedalia,MO,19189,Simmons First National Bank,2012-10-19,2013-10-22,2012,4
69,First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,2012-10-19,2016-01-06,2012,4
70,GulfSouth Private Bank,Destin,FL,58073,SmartBank,2012-10-19,2014-03-21,2012,4
71,First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",2012-09-28,2013-11-01,2012,3
72,Truman Bank,St. Louis,MO,27316,Simmons First National Bank,2012-09-14,2012-12-17,2012,3
73,First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,2012-09-07,2012-12-17,2012,3
74,Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,2012-08-03,2015-12-07,2012,3
75,Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,2012-07-27,2014-03-21,2012,3
76,Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,2012-07-20,2018-01-03,2012,3
77,Heartland Bank,Leawood,KS,1361,Metcalf Bank,2012-07-20,2013-07-30,2012,3
78,First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,2012-07-20,2017-10-06,2012,3
79,Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,2012-07-20,2017-10-06,2012,3
80,The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,2012-07-20,2014-03-21,2012,3
81,Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,2012-07-13,2014-08-19,2012,3
82,Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,2012-07-06,2014-03-21,2012,3
83,The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,2012-06-15,2016-08-08,2012,2
84,Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,2012-06-15,2014-03-21,2012,2
85,Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,2012-06-15,2014-03-21,2012,2
86,Waccamaw Bank,Whiteville,NC,34515,First Community Bank,2012-06-08,2014-03-21,2012,2
87,Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,2012-06-08,2012-10-10,2012,2
88,Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,2012-06-08,2014-03-21,2012,2
89,First Capital Bank,Kingfisher,OK,416,F & M Bank,2012-06-08,2015-02-05,2012,2
90,"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,2012-05-18,2015-09-21,2012,2
91,"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,2012-05-04,2016-04-12,2012,2
92,Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,2012-04-27,2015-12-07,2012,2
93,Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,2012-04-27,2016-11-10,2012,2
94,"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,2012-04-27,2013-05-17,2012,2
95,HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,2012-04-27,2015-09-21,2012,2
96,Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,2012-04-27,2012-10-17,2012,2
97,"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,2012-04-20,2013-05-17,2012,2
98,Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,2012-03-30,2014-02-04,2012,1
99,Premier Bank,Wilmette,IL,35419,International Bank of Chicago,2012-03-23,2012-10-17,2012,1
100,Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.",2012-03-23,2014-03-21,2012,1
101,New City Bank,Chicago,IL,57597,No Acquirer,2012-03-09,2012-10-29,2012,1
102,Global Commerce Bank,Doraville,GA,34046,Metro City Bank,2012-03-02,2014-06-26,2012,1
103,Home Savings of America,Little Falls,MN,29178,No Acquirer,2012-02-24,2012-12-17,2012,1
104,Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,2012-02-24,2014-03-21,2012,1
105,SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",2012-02-10,2015-02-19,2012,1
106,Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",2012-02-10,2013-03-25,2012,1
107,BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",2012-01-27,2015-12-07,2012,1
108,Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,2012-01-27,2017-11-13,2012,1
109,Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,2012-01-27,2014-03-21,2012,1
110,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",2012-01-27,2016-07-11,2012,1
111,American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",2012-01-20,2017-11-01,2012,1
112,The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,2012-01-20,2014-03-21,2012,1
113,Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",2012-01-20,2016-06-06,2012,1
114,Western National Bank,Phoenix,AZ,57917,Washington Federal,2011-12-16,2015-02-05,2011,4
115,Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,2011-12-16,2018-01-12,2011,4
116,Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,2011-11-18,2015-02-05,2011,4
117,Polk County Bank,Johnston,IA,14194,Grinnell State Bank,2011-11-18,2012-08-15,2011,4
118,Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,2011-11-10,2014-03-21,2011,4
119,SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,2011-11-04,2017-08-09,2011,4
120,"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,2011-11-04,2012-08-15,2011,4
121,All American Bank,Des Plaines,IL,57759,International Bank of Chicago,2011-10-28,2012-08-15,2011,4
122,Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",2011-10-21,2013-01-02,2011,4
123,Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,2011-10-21,2016-01-06,2011,4
124,Decatur First Bank,Decatur,GA,34392,Fidelity Bank,2011-10-21,2014-03-21,2011,4
125,Old Harbor Bank,Clearwater,FL,57537,1st United Bank,2011-10-21,2017-10-06,2011,4
126,Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,2011-10-14,2017-04-13,2011,4
127,First State Bank,Cranford,NJ,58046,Northfield Bank,2011-10-14,2017-10-23,2011,4
128,"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,2011-10-14,2014-03-21,2011,4
129,Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,2011-10-14,2014-03-21,2011,4
130,Sun Security Bank,Ellington,MO,20115,Great Southern Bank,2011-10-07,2017-05-08,2011,4
131,The RiverBank,Wyoming,MN,10216,Central Bank,2011-10-07,2012-11-07,2011,4
132,First International Bank,Plano,TX,33513,American First National Bank,2011-09-30,2015-02-05,2011,3
133,Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,2011-09-23,2018-01-07,2011,3
134,Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,2011-09-23,2012-10-09,2011,3
135,The First National Bank of Florida,Milton,FL,25155,CharterBank,2011-09-09,2014-03-21,2011,3
136,CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,2011-09-02,2017-06-23,2011,3
137,Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,2011-09-02,2017-06-28,2011,3
138,First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,2011-08-19,2015-02-05,2011,3
139,First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,2011-08-19,2018-01-12,2011,3
140,Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.",2011-08-19,2014-03-21,2011,3
141,Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",2011-08-18,2018-02-12,2011,3
142,The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,2011-08-12,2012-08-23,2011,3
143,Bank of Whitman,Colfax,WA,22528,Columbia State Bank,2011-08-05,2012-08-16,2011,3
144,Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,2011-08-05,2016-10-20,2011,3
145,Integra Bank National Association,Evansville,IN,4392,Old National Bank,2011-07-29,2012-08-16,2011,3
146,"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,2011-07-29,2017-10-06,2011,3
147,Virginia Business Bank,Richmond,VA,58283,Xenith Bank,2011-07-29,2012-10-09,2011,3
148,Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",2011-07-22,2012-09-12,2011,3
149,LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,2011-07-22,2014-03-21,2011,3
150,Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,2011-07-22,2015-02-05,2011,3
151,Summit Bank,Prescott,AZ,57442,The Foothills Bank,2011-07-15,2014-08-19,2011,3
152,First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",2011-07-15,2016-07-12,2011,3
153,High Trust Bank,Stockbridge,GA,19554,Ameris Bank,2011-07-15,2014-03-21,2011,3
154,One Georgia Bank,Atlanta,GA,58238,Ameris Bank,2011-07-15,2014-03-21,2011,3
155,Signature Bank,Windsor,CO,57835,Points West Community Bank,2011-07-08,2012-10-26,2011,3
156,Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,2011-07-08,2016-11-10,2011,3
157,First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,2011-07-08,2012-09-09,2011,3
158,Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,2011-06-24,2017-02-09,2011,2
159,First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,2011-06-17,2016-09-12,2011,2
160,McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,2011-06-17,2014-03-21,2011,2
161,Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",2011-06-03,2014-03-21,2011,2
162,First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,2011-05-27,2017-10-23,2011,2
163,Summit Bank,Burlington,WA,513,Columbia State Bank,2011-05-20,2017-10-23,2011,2
164,First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",2011-05-20,2017-10-06,2011,2
165,Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association",2011-05-20,2017-10-06,2011,2
166,Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-05-06,2015-09-21,2011,2
167,Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,2011-04-29,2017-04-13,2011,2
168,The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,2011-04-29,2014-03-21,2011,2
169,First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,2011-04-29,2015-09-21,2011,2
170,Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29,2016-08-08,2011,2
171,First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29,2016-05-04,2011,2
172,Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,2011-04-15,2014-03-21,2011,2
173,Rosemount National Bank,Rosemount,MN,24099,Central Bank,2011-04-15,2015-12-07,2011,2
174,Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",2011-04-15,2014-03-21,2011,2
175,Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,2011-04-15,2014-03-21,2011,2
176,New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,2011-04-15,2017-11-13,2011,2
177,Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,2011-04-15,2014-03-21,2011,2
